filename,pdf_path,pdf_type,input_tokens,output_tokens,api_latency,total_cost,accuracy
1059_png.rf.c5a9d8d8b7e151639a860a0e03daa414,input/pdfs/1059_png.rf.c5a9d8d8b7e151639a860a0e03daa414.pdf,scanned,312,1736,16.73542308807373,0.0007256,0.9487179517745972
19583_png.rf.970a3d70b46cc3e43f7fd97d20a32279,input/pdfs/19583_png.rf.970a3d70b46cc3e43f7fd97d20a32279.pdf,scanned,312,954,12.98171091079712,0.0004128,0.5914967060089111
9428_png.rf.7ea7270ad5d61b7afae6bb75c82ce242,input/pdfs/9428_png.rf.7ea7270ad5d61b7afae6bb75c82ce242.pdf,scanned,312,2288,18.674005031585693,0.0009463999999999,0.2029988169670105
8821_png.rf.588c2366274eaaa2d626a5dadcecacff,input/pdfs/8821_png.rf.588c2366274eaaa2d626a5dadcecacff.pdf,scanned,312,1054,12.741624116897585,0.0004528,0.8686598539352417
19249_png.rf.f088a27d4783d615d4d1e1c0f1d5ddb8,input/pdfs/19249_png.rf.f088a27d4783d615d4d1e1c0f1d5ddb8.pdf,scanned,312,1198,14.292181015014648,0.0005104,0.8147457242012024
1859_png.rf.7d13e6e0af497034a4b9c330e3668743,input/pdfs/1859_png.rf.7d13e6e0af497034a4b9c330e3668743.pdf,scanned,312,491,9.363946914672852,0.0002276,0.9202055335044861
30766_png.rf.91c84f0277bcfe9dddb4bbf45de1a98a,input/pdfs/30766_png.rf.91c84f0277bcfe9dddb4bbf45de1a98a.pdf,scanned,312,647,9.778464078903198,0.00029,0.955947756767273
2327_png.rf.b1b148c36897866136e424765ee22da4,input/pdfs/2327_png.rf.b1b148c36897866136e424765ee22da4.pdf,scanned,312,1273,15.05204701423645,0.0005404,0.9967532753944397
5724_png.rf.f9286e2f2c9f18b338adc883df6a3d9b,input/pdfs/5724_png.rf.f9286e2f2c9f18b338adc883df6a3d9b.pdf,scanned,312,453,8.711445808410645,0.0002123999999999,0.5770228505134583
4355_png.rf.437ac790e8f48eae09a92903d45e1e71,input/pdfs/4355_png.rf.437ac790e8f48eae09a92903d45e1e71.pdf,scanned,312,185,5.881613969802856,0.0001052,0.946087658405304
